college,college_code,course_code,course_name,dept
College of Architecture,CA,CBT,Bachelor of Landscape Architecture,
College of Architecture,CA,BLA,Bachelor of Landscape Architecture,
College of Architecture,CA,BS Arch,Bachelor of Science in Architecture,
College of Architecture,CA,M Arch,,
College of Architecture,CA,MTLA,,
College of Arts and Letters,CAL,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Asian Center,AC,,,
Ceasar E.A. Virata School of Business,VSB,,,
School of Economics,SE,,,
College of Education,Ced,,,
College of Engineering,CoE,,,
College of Fine Arts,CFA,,,
College of Home Economics,CHE,,,
College of Human Kinetics,CHK,,,
Institute of Islamic Studies,IIS,,,
School of Labor and Industrial Relations,SOLAIR,,,
College of Law,LAW,,,
School of Library and Information Studies,SLIS,,,
College of Mass Communication,CMC,,,
College of Music,Cmu,,,
National College of Public Administration and Governance,NCPAG,,,
College of Science,CS,,,
College of Social Sciences and Philosophy,CSSP,,,
College of Social Work and Community Development,CSWCD,,,
School of Statistics,STAT,,,
School of Urban and Regional Planning,SURP,,,
UP Diliman Extension Program in Olongapo,,,,
UP Diliman Extension Program in Pampanga,UPDEPO,,,
Archaeological Studies Program,ASP,,,
Technology Management Center,TMC,,,
